product_id,product_name,price,category,brand,stock_quantity,release_date
1,Mr,395.22,beauty,Edgeblab,816,9/27/2000
2,Dr,208.73,electronics,Avavee,658,1/24/2021
3,Honorable,222.66,clothing,Youbridge,408,2/14/2017
4,Dr,443.43,beauty,Divavu,370,6/28/2009
5,Mrs,243.34,clothing,Leenti,9,7/11/2010
6,Mr,935.24,beauty,Eare,226,8/31/2017
7,Dr,99.77,electronics,Yodo,334,1/27/2003
8,Dr,361.12,beauty,Skinix,78,12/21/2006
9,Dr,264.46,electronics,Lajo,404,3/10/2016
10,Ms,955.18,beauty,Brainbox,902,11/2/2008
11,Ms,522.06,home decor,Topicshots,799,7/7/2015
12,Ms,251.5,home decor,Jabbersphere,75,9/4/2006
13,Mr,986.45,toys,Izio,121,1/19/2013
14,Dr,639.25,electronics,Meemm,251,7/23/2007
15,Mr,564.35,beauty,Lazz,9,9/28/2020
16,Ms,108.68,home decor,Brainsphere,551,3/1/2005
17,Ms,735.22,clothing,Skipfire,930,8/15/2000
18,Honorable,868.13,electronics,Trilia,213,11/4/2016
19,Rev,512.53,home decor,Bluejam,691,9/6/2018
20,Mr,178.55,toys,Gabtune,312,2/20/2011
21,Ms,756.53,electronics,Gevee,449,3/12/2005
22,Mrs,511.44,toys,Omba,936,2/18/2000
23,Mr,363.09,clothing,Twitterbeat,738,5/12/2014
24,Honorable,516.23,clothing,Twitterbeat,705,4/23/2016
25,Honorable,962.57,home decor,Skidoo,201,5/18/2007
26,Mrs,624.96,electronics,Oyoloo,177,2/13/2019
27,Ms,376.2,beauty,Yata,593,3/2/2001
28,Mrs,132.62,clothing,Rhyzio,172,9/10/2004
29,Honorable,78.3,toys,Skinder,964,11/21/2019
30,Mrs,637.97,clothing,Mycat,801,4/23/2022
31,Honorable,37.06,clothing,Jaxnation,413,4/14/2007
32,Ms,65.53,beauty,Dabfeed,407,6/14/2010
33,Dr,313.52,toys,Yacero,906,9/15/2018
34,Mrs,301.99,clothing,Skaboo,330,4/14/2022
35,Dr,707.13,clothing,Eidel,458,10/25/2016
36,Honorable,313.95,electronics,Yacero,339,2/2/2017
37,Mrs,231.46,beauty,Meeveo,833,11/27/2000
38,Ms,806.75,clothing,Cogidoo,417,11/11/2002
39,Ms,789.95,home decor,Youtags,157,11/21/2004
40,Dr,633.94,electronics,Jabbercube,256,4/30/2000
41,Mr,693.56,home decor,Fanoodle,109,11/21/2006
42,Dr,122.04,electronics,Vidoo,730,1/13/2002
43,Mr,703.78,clothing,Edgepulse,238,2/2/2015
44,Honorable,124.66,beauty,Browsebug,933,9/22/2009
45,Ms,660.68,home decor,Fatz,399,7/27/2022
46,Honorable,10.53,electronics,Fivespan,989,4/15/2007
47,Honorable,987.06,beauty,Feedfish,422,7/12/2003
48,Rev,894.27,toys,Yakidoo,707,12/11/2012
49,Ms,152.18,clothing,Devbug,482,10/26/2010
50,Mr,648.1,electronics,Yacero,837,8/25/2008
51,Honorable,141.09,home decor,Plambee,155,3/21/2000
52,Ms,502.12,home decor,Layo,919,4/28/2009
53,Rev,743.98,home decor,Topiclounge,308,12/21/2001
54,Mr,50.81,beauty,Plambee,820,5/13/2018
55,Dr,707.24,toys,Linkbuzz,71,5/14/2013
56,Honorable,525.7,electronics,BlogXS,940,1/12/2010
57,Ms,146.53,electronics,Youtags,250,1/19/2000
58,Mr,594.2,home decor,Eayo,690,1/4/2004
59,Honorable,648.74,home decor,Thoughtsphere,198,4/8/2010
60,Ms,132.02,clothing,Twinder,335,7/8/2017
61,Ms,865.22,home decor,Skaboo,55,6/7/2009
62,Rev,366.97,clothing,Jabbersphere,916,1/30/2009
63,Ms,168.09,electronics,Edgeblab,97,2/7/2020
64,Ms,330.94,beauty,Tagcat,544,3/8/2011
65,Mr,551.75,beauty,Fadeo,90,6/22/2018
66,Mrs,23.72,electronics,Topicstorm,587,8/28/2019
67,Dr,117.38,home decor,Twinder,65,4/6/2017
68,Mrs,933.35,toys,Innojam,694,11/11/2020
69,Ms,492.39,toys,Wikibox,563,4/19/2012
70,Rev,839.13,toys,Quaxo,434,10/29/2008
71,Rev,111.68,toys,Yadel,559,10/26/2020
72,Dr,762.31,home decor,Blogtag,162,10/7/2011
73,Rev,571.84,beauty,Buzzster,54,5/8/2021
74,Mr,140.07,home decor,Mynte,368,5/24/2018
75,Mrs,144.22,clothing,Gigabox,38,9/8/2021
76,Dr,656.24,toys,Livepath,100,10/6/2021
77,Mrs,171.69,toys,Photojam,456,5/6/2006
78,Rev,394.61,electronics,Oloo,278,5/12/2014
79,Ms,514.3,home decor,Wikibox,503,9/17/2015
80,Dr,87.81,clothing,Dabshots,226,9/25/2006
81,Honorable,11.42,beauty,Jayo,601,5/30/2015
82,Ms,704.58,toys,Vimbo,395,3/17/2020
83,Dr,402.53,clothing,Thoughtblab,555,4/16/2018
84,Ms,171.08,home decor,Ozu,345,11/17/2005
85,Honorable,15.67,beauty,Bluejam,36,5/7/2008
86,Rev,181.39,beauty,Trilith,642,1/11/2006
87,Dr,310.82,clothing,Babbleopia,205,10/13/2008
88,Mrs,997.31,home decor,Twitterbeat,39,2/24/2000
89,Mr,230.01,beauty,Skidoo,126,6/30/2013
90,Ms,872.47,clothing,Skilith,989,1/7/2003
91,Ms,212.33,clothing,Tavu,362,3/29/2015
92,Mrs,565.56,toys,Mymm,196,2/14/2019
93,Mr,155.73,home decor,Oyonder,869,9/11/2018
94,Rev,703.29,home decor,Realmix,184,1/10/2008
95,Mr,487.0,beauty,Oyonder,809,3/26/2005
96,Mrs,807.85,home decor,Gabspot,322,2/27/2006
97,Mr,340.94,clothing,Gevee,860,3/16/2012
98,Honorable,291.56,beauty,Trilia,595,5/31/2017
99,Mr,878.96,home decor,Flashdog,554,7/3/2004
100,Mr,273.19,clothing,Chatterbridge,461,5/17/2005
101,Honorable,519.13,toys,Jabbercube,978,4/21/2000
102,Dr,597.42,home decor,Yambee,299,5/22/2010
103,Honorable,401.87,clothing,Pixope,982,2/14/2013
104,Rev,941.54,electronics,Oyondu,958,5/12/2010
105,Honorable,58.19,home decor,Livefish,827,10/31/2011
106,Rev,62.81,clothing,Topiclounge,454,1/8/2021
107,Dr,388.6,beauty,Jatri,935,1/21/2012
108,Dr,931.3,clothing,Flipopia,558,5/3/2005
109,Dr,301.26,electronics,Centimia,998,2/13/2002
110,Dr,402.31,toys,Quimba,832,9/11/2007
111,Ms,498.83,electronics,Feednation,25,5/25/2011
112,Ms,806.67,beauty,Thoughtstorm,698,7/17/2011
113,Ms,590.3,home decor,Vipe,774,5/27/2007
114,Rev,918.74,electronics,Plambee,690,10/13/2002
