product_id,product_name,price,category,brand,stock_quantity,release_date
1,Ms,23.54,beauty,Zoomdog,415,8/31/2002
2,Dr,843.49,clothing,Dynabox,836,1/19/2021
3,Mrs,256.21,clothing,Topicshots,368,7/5/2022
4,Honorable,233.62,toys,Agimba,32,1/16/2003
5,Mr,48.54,electronics,Chatterpoint,421,1/25/2014
6,Mrs,483.39,toys,Oyonder,282,3/5/2018
7,Honorable,345.62,home decor,Mynte,644,1/10/2009
8,Mrs,685.04,electronics,Skiba,738,2/25/2016
9,Mr,639.79,toys,Vitz,275,8/15/2018
10,Mr,891.21,electronics,Divanoodle,746,10/4/2012
11,Rev,483.06,electronics,Zoomzone,609,9/26/2015
12,Mr,725.13,toys,Babbleblab,618,4/1/2007
13,Rev,950.81,home decor,Meetz,649,9/1/2000
14,Rev,390.64,toys,Ailane,895,8/6/2021
15,Rev,603.33,beauty,Edgeclub,35,6/17/2002
16,Mr,170.17,beauty,Devify,504,10/18/2003
17,Ms,725.56,beauty,Tagfeed,960,3/2/2010
18,Ms,461.24,clothing,Twimm,306,4/27/2008
19,Dr,944.18,beauty,Browsedrive,276,1/27/2018
20,Ms,87.05,clothing,Wikibox,200,1/29/2021
21,Rev,129.52,electronics,Blogspan,336,4/10/2022
22,Ms,918.45,beauty,Skyble,331,10/26/2010
23,Ms,265.81,electronics,Teklist,589,8/25/2021
24,Honorable,454.36,electronics,Feedspan,747,9/23/2009
25,Mr,692.97,electronics,Mymm,527,12/16/2014
26,Mr,50.45,beauty,Voolia,85,3/1/2015
27,Dr,709.53,clothing,Feednation,853,1/26/2008
28,Dr,590.55,beauty,Skyndu,411,1/28/2003
29,Honorable,484.1,electronics,Skinder,900,3/25/2021
30,Ms,195.66,electronics,Edgepulse,833,7/20/2012
31,Mr,336.25,clothing,Digitube,185,3/29/2014
32,Rev,569.33,clothing,Jabbersphere,614,4/7/2000
33,Dr,640.35,electronics,Brainverse,387,9/10/2021
34,Mrs,437.05,clothing,Innotype,684,3/11/2004
35,Ms,311.67,clothing,Trupe,295,8/8/2005
